pid,user,process_name,local_port,remote_ip,remote_port,cpu_percent,memory_rss_mb,timestamp,status,tag
1127,keenan_salonga,rapportd,50929,[fe80:e::1473:39ba:f38b:790],49963,0.0006481463059013775,24.98,2025-05-25 17:23:16.590343,ESTABLISHED,normal
1486,keenan_salonga,Code\x20H,52401,52.182.143.209,443,0.003133757835587828,28.36,2025-05-25 17:23:16.590343,ESTABLISHED,normal
39942,keenan_salonga,Discord,52447,162.159.130.234,443,0.010817133275648752,58.14,2025-05-25 17:23:16.590343,ESTABLISHED,normal
1127,keenan_salonga,rapportd,50929,[fe80:e::1473:39ba:f38b:790],49963,0.004801553675560321,24.98,2025-05-25 17:23:26.765710,ESTABLISHED,normal
1486,keenan_salonga,Code\x20H,52401,52.182.143.209,443,0.002588841831966308,28.36,2025-05-25 17:23:26.765710,ESTABLISHED,normal
39942,keenan_salonga,Discord,52447,162.159.130.234,443,0.017221201678191436,58.14,2025-05-25 17:23:26.765710,ESTABLISHED,normal
1127,keenan_salonga,rapportd,50929,[fe80:e::1473:39ba:f38b:790],49963,0.004817122879155058,24.98,2025-05-25 17:23:36.937435,ESTABLISHED,normal
1486,keenan_salonga,Code\x20H,52401,52.182.143.209,443,0.003538595979260706,28.36,2025-05-25 17:23:36.937435,ESTABLISHED,normal
39942,keenan_salonga,Discord,52447,162.159.130.234,443,0.01945850088804973,58.14,2025-05-25 17:23:36.937435,ESTABLISHED,normal
1127,keenan_salonga,rapportd,50929,[fe80:e::1473:39ba:f38b:790],49963,0.003927133133308725,25.0,2025-05-25 17:23:47.096899,ESTABLISHED,normal
1486,keenan_salonga,Code\x20H,52401,52.182.143.209,443,0.0022174382301655368,28.36,2025-05-25 17:23:47.096899,ESTABLISHED,normal
39942,keenan_salonga,Discord,52447,162.159.130.234,443,0.004683078902648242,58.14,2025-05-25 17:23:47.096899,ESTABLISHED,normal
1127,keenan_salonga,rapportd,50929,[fe80:e::1473:39ba:f38b:790],49963,0.0011045261503268063,24.98,2025-05-25 17:23:57.271795,ESTABLISHED,normal
1486,keenan_salonga,Code\x20H,52401,52.182.143.209,443,0.006408243003160124,28.36,2025-05-25 17:23:57.271795,ESTABLISHED,normal
39942,keenan_salonga,Discord,52447,162.159.130.234,443,0.0024820305735148572,58.14,2025-05-25 17:23:57.271795,ESTABLISHED,normal
1127,keenan_salonga,rapportd,50929,[fe80:e::1473:39ba:f38b:790],49963,0.00470757749086916,24.98,2025-05-25 17:24:07.443581,ESTABLISHED,normal
1486,keenan_salonga,Code\x20H,52401,52.182.143.209,443,0.0032038389953081415,28.36,2025-05-25 17:24:07.443581,ESTABLISHED,normal
39942,keenan_salonga,Discord,52447,162.159.130.234,443,0.0040545068044074125,58.14,2025-05-25 17:24:07.443581,ESTABLISHED,normal
1127,keenan_salonga,rapportd,50929,[fe80:e::1473:39ba:f38b:790],49963,0.004272920035198984,24.98,2025-05-25 17:24:17.616700,ESTABLISHED,normal
1486,keenan_salonga,Code\x20H,52401,52.182.143.209,443,0.007008281800162986,28.36,2025-05-25 17:24:17.616700,ESTABLISHED,normal
39942,keenan_salonga,Discord,52447,162.159.130.234,443,0.013397515282482187,58.14,2025-05-25 17:24:17.616700,ESTABLISHED,normal
1127,keenan_salonga,rapportd,50929,[fe80:e::1473:39ba:f38b:790],49963,0.005008885285810657,25.0,2025-05-25 17:24:27.726062,ESTABLISHED,normal
1486,keenan_salonga,Code\x20H,52401,52.182.143.209,443,0.0034540599022009695,28.36,2025-05-25 17:24:27.726062,ESTABLISHED,normal
39942,keenan_salonga,Discord,52447,162.159.130.234,443,0.043064348818468344,58.14,2025-05-25 17:24:27.726062,ESTABLISHED,normal
1127,keenan_salonga,rapportd,50929,[fe80:e::1473:39ba:f38b:790],49963,0.08710661011896896,25.39,2025-05-25 17:24:37.830643,ESTABLISHED,normal
1486,keenan_salonga,Code\x20H,52401,52.182.143.209,443,0.002789400441749692,28.36,2025-05-25 17:24:37.830643,ESTABLISHED,normal
39942,keenan_salonga,Discord,52447,162.159.130.234,443,0.0100555035924934,58.14,2025-05-25 17:24:37.830643,ESTABLISHED,normal
1127,keenan_salonga,rapportd,50929,[fe80:e::1473:39ba:f38b:790],49963,0.14184139078692862,26.7,2025-05-25 17:24:47.985466,ESTABLISHED,normal
1486,keenan_salonga,Code\x20H,52401,52.182.143.209,443,0.0035066583071144066,28.36,2025-05-25 17:24:47.985466,ESTABLISHED,normal
39942,keenan_salonga,Discord,52447,162.159.130.234,443,0.010344787727183825,58.14,2025-05-25 17:24:47.985466,ESTABLISHED,normal
1127,keenan_salonga,rapportd,50929,[fe80:e::1473:39ba:f38b:790],49963,0.0044183682966833,26.64,2025-05-25 17:24:58.159712,ESTABLISHED,normal
1486,keenan_salonga,Code\x20H,52640,[2620:1ec:bdf::57],443,0.16468508522554226,28.36,2025-05-25 17:24:58.159712,ESTABLISHED,normal
39942,keenan_salonga,Discord,52447,162.159.130.234,443,0.010644599995165241,58.14,2025-05-25 17:24:58.159712,ESTABLISHED,normal
1127,keenan_salonga,rapportd,50929,[fe80:e::1473:39ba:f38b:790],49963,0.005111796853106468,26.64,2025-05-25 17:25:08.333507,ESTABLISHED,normal
1486,keenan_salonga,Code\x20H,52640,[2620:1ec:bdf::57],443,0.008326324516588378,28.36,2025-05-25 17:25:08.333507,ESTABLISHED,normal
39942,keenan_salonga,Discord,52447,162.159.130.234,443,0.007294657297041797,58.14,2025-05-25 17:25:08.333507,ESTABLISHED,normal
1127,keenan_salonga,rapportd,50929,[fe80:e::1473:39ba:f38b:790],49963,0.0035767269992420117,26.66,2025-05-25 17:25:18.507742,ESTABLISHED,normal
1486,keenan_salonga,Code\x20H,52640,[2620:1ec:bdf::57],443,0.032121335689458956,28.36,2025-05-25 17:25:18.507742,ESTABLISHED,normal
39942,keenan_salonga,Discord,52447,162.159.130.234,443,0.037556232610429126,58.14,2025-05-25 17:25:18.507742,ESTABLISHED,normal
1127,keenan_salonga,rapportd,50929,[fe80:e::1473:39ba:f38b:790],49963,0.005648277481429341,26.44,2025-05-25 17:25:28.628518,ESTABLISHED,normal
1486,keenan_salonga,Code\x20H,52640,[2620:1ec:bdf::57],443,0.005380144519795629,28.36,2025-05-25 17:25:28.628518,ESTABLISHED,normal
39942,keenan_salonga,Discord,52447,162.159.130.234,443,0.004176124161338479,58.14,2025-05-25 17:25:28.628518,ESTABLISHED,normal
1127,keenan_salonga,rapportd,50929,[fe80:e::1473:39ba:f38b:790],49963,0.000946451421314132,26.42,2025-05-25 17:25:38.744613,ESTABLISHED,normal
1486,keenan_salonga,Code\x20H,52640,[2620:1ec:bdf::57],443,0.0024572303079348945,28.36,2025-05-25 17:25:38.744613,ESTABLISHED,normal
39942,keenan_salonga,Discord,52447,162.159.130.234,443,0.069312387799806,58.14,2025-05-25 17:25:38.744613,ESTABLISHED,normal
1127,keenan_salonga,rapportd,50929,[fe80:e::1473:39ba:f38b:790],49963,0.041159626872286456,26.52,2025-05-25 17:25:48.844780,ESTABLISHED,normal
1486,keenan_salonga,Code\x20H,52640,[2620:1ec:bdf::57],443,0.0023698627478033318,28.36,2025-05-25 17:25:48.844780,ESTABLISHED,normal
39942,keenan_salonga,Discord,52447,162.159.130.234,443,0.042297618470087825,58.14,2025-05-25 17:25:48.844780,ESTABLISHED,normal
1127,keenan_salonga,rapportd,50929,[fe80:e::1473:39ba:f38b:790],49963,0.00577355243476236,26.44,2025-05-25 17:25:58.983069,ESTABLISHED,normal
1486,keenan_salonga,Code\x20H,52640,[2620:1ec:bdf::57],443,0.011691097967285301,28.36,2025-05-25 17:25:58.983069,ESTABLISHED,normal
39942,keenan_salonga,Discord,52447,162.159.130.234,443,0.004634780133612311,58.14,2025-05-25 17:25:58.983069,ESTABLISHED,normal
1127,keenan_salonga,rapportd,50929,[fe80:e::1473:39ba:f38b:790],49963,0.0050089365302906355,26.44,2025-05-25 17:26:09.158869,ESTABLISHED,normal
1486,keenan_salonga,Code\x20H,52640,[2620:1ec:bdf::57],443,0.003363598022656337,28.36,2025-05-25 17:26:09.158869,ESTABLISHED,normal
39942,keenan_salonga,Discord,52447,162.159.130.234,443,0.002953521849152463,58.14,2025-05-25 17:26:09.158869,ESTABLISHED,normal
1127,keenan_salonga,rapportd,50929,[fe80:e::1473:39ba:f38b:790],49963,0.0011775002252682912,26.42,2025-05-25 17:26:19.333611,ESTABLISHED,normal
1486,keenan_salonga,Code\x20H,52640,[2620:1ec:bdf::57],443,0.006139115390681924,28.36,2025-05-25 17:26:19.333611,ESTABLISHED,normal
39942,keenan_salonga,Discord,52447,162.159.130.234,443,0.019035042462332365,58.14,2025-05-25 17:26:19.333611,ESTABLISHED,normal
1127,keenan_salonga,rapportd,50929,[fe80:e::1473:39ba:f38b:790],49963,0.0044354957122731044,26.42,2025-05-25 17:26:29.477215,ESTABLISHED,normal
